time	RMSD_R1	RMSD_R2	RMSD_R3
82.9	1.89	1.31	0.93
83.0	1.93	1.03	1.05
83.1	2.03	0.98	0.85
83.2	1.87	1.05	1.05
83.3	1.89	1.04	1.14
83.4	1.8	1.06	1.03
83.5	1.81	1.06	1.14
83.6	1.73	1.0	1.06
83.7	1.98	1.17	1.12
83.8	1.89	1.23	1.1
83.9	1.82	0.94	1.21
84.0	1.58	0.92	1.03
84.1	1.78	1.14	1.07
84.2	1.88	0.9	1.21
84.3	1.86	1.18	0.92
84.4	1.64	1.17	1.15
84.5	1.87	1.15	0.95
84.6	1.66	1.09	1.19
84.7	1.66	0.96	1.1
84.8	1.59	1.04	1.0
84.9	1.66	1.22	1.09
85.0	1.77	1.02	1.12
85.1	1.68	0.97	1.24
85.2	1.61	1.02	0.99
85.3	1.69	1.0	1.17
85.4	1.82	1.11	1.21
85.5	1.75	1.21	1.08
85.6	1.72	0.91	1.23
85.7	1.75	1.18	1.11
85.8	1.71	0.94	1.13
85.9	1.95	1.05	1.04
86.0	1.98	0.84	0.97
86.1	1.84	1.04	1.23
86.2	1.86	0.97	1.09
